word,embedding
an,"[-0.03924601152539253, -0.040757060050964355, 0.03817420080304146, -0.005932915955781937, 0.045964691787958145]"
but,"[0.008786343038082123, -0.037822235375642776, -0.04223433881998062, -0.015940260142087936, 0.04318905249238014]"
by,"[0.00041185691952705383, 0.00934739038348198, -0.024500703439116478, -0.03095231018960476, 0.024042222648859024]"
have,"[-0.03423124551773071, 0.036031391471624374, -0.027172565460205078, -0.03979456424713135, 0.040932510048151016]"
this,"[0.009865283966064453, 0.04372307285666466, -0.01263592392206192, 0.011821985244750977, -0.027563929557800293]"
not,"[-0.014139819890260696, 0.049576226621866226, -0.009467493742704391, 0.04994264617562294, -0.017442703247070312]"
were,"[-0.016129352152347565, 0.02075866237282753, 0.013034652918577194, -0.009050119668245316, -0.003221023827791214]"
cnn,"[-0.006194092333316803, -0.006003629416227341, 0.03182102367281914, 0.02993372455239296, -0.00933673232793808]"
has,"[-0.015830837190151215, -0.024319006130099297, 0.01747835800051689, 0.022974465042352676, -0.036208998411893845]"
are,"[0.016797330230474472, -0.0009490028023719788, 0.0204344280064106, -0.040665458887815475, 0.03377505764365196]"
after,"[0.017679404467344284, -0.045651521533727646, -0.003679133951663971, 0.030707884579896927, 0.024037931114435196]"
who,"[0.04648348316550255, 0.03538358584046364, 0.040367331355810165, 0.036179568618535995, 0.019872751086950302]"
she,"[-0.04361872747540474, 0.010484635829925537, 0.03735997900366783, 0.033405330032110214, -0.008338820189237595]"
her,"[0.027480218559503555, -0.03825581073760986, -0.008491337299346924, 0.017066869884729385, -0.04892721399664879]"
had,"[-0.02340794913470745, 0.003986440598964691, -0.004726149141788483, 0.03917950764298439, 0.03977478668093681]"
they,"[0.022321853786706924, -0.031613826751708984, 0.021226655691862106, 0.01694783940911293, -0.03544146940112114]"
be,"[-0.002474367618560791, 0.03537124767899513, 0.019613992422819138, 0.00501864030957222, -0.004685580730438232]"
us,"[-0.043871261179447174, -0.035552848130464554, 0.011180341243743896, -0.00415344163775444, 0.028176631778478622]"
been,"[0.036491844803094864, -0.022501135244965553, 0.005608595907688141, -0.005541123449802399, -0.035527847707271576]"
their,"[0.0037744753062725067, 0.008957792073488235, 0.03456323221325874, 0.032253529876470566, 0.008606113493442535]"
its,"[-0.04331066831946373, -0.02048027515411377, -0.018716584891080856, 0.045956339687108994, -0.0012018084526062012]"
when,"[-0.043428756296634674, -0.0010099783539772034, 0.009268831461668015, 0.016434025019407272, 0.012670960277318954]"
one,"[0.026085447520017624, -0.005296040326356888, -0.030846213921904564, -0.043454360216856, 0.005053065717220306]"
will,"[-0.030219364911317825, -0.022095967084169388, -0.03986631706357002, 0.021408233791589737, 0.027218017727136612]"
we,"[-0.013903249055147171, 0.046542052179574966, 0.010439824312925339, -0.01121983677148819, -0.0418185219168663]"
about,"[0.02821352705359459, -0.002331852912902832, -0.025326861068606377, 0.0013851411640644073, 0.030705902725458145]"
you,"[-0.04329652711749077, 0.02116454765200615, -0.022296762093901634, -0.012531805783510208, 0.030244741588830948]"
which,"[-0.042561281472444534, -0.027129901573061943, -0.009821616113185883, 0.009803496301174164, 0.004042934626340866]"
into,"[0.00342409685254097, 0.02634047344326973, -0.03599005937576294, -0.020479178056120872, 0.002428807318210602]"
two,"[-0.040962230414152145, -0.03619002178311348, 0.04358942434191704, -0.03992042690515518, 0.0325666181743145]"
people,"[-0.04648183658719063, 0.0076364874839782715, 0.03526869788765907, -0.04869576916098595, -0.03067655675113201]"
told,"[-0.048576582223176956, 0.039081696420907974, -0.03674955293536186, -0.014300785958766937, -0.000738680362701416]"
or,"[-0.03657958656549454, -0.0017471686005592346, 0.03862413391470909, 0.045105528086423874, 0.017499234527349472]"
out,"[-0.0017917975783348083, 0.022849921137094498, -0.018896400928497314, 0.0020321980118751526, 0.021682921797037125]"
police,"[-0.0403619185090065, -0.010432016104459763, 0.03598076477646828, -0.036561597138643265, -0.02174295298755169]"
government,"[0.014740776270627975, 0.0379740335047245, -0.03503834083676338, 0.045811977237463, 0.0012437105178833008]"
what,"[0.04590798541903496, 0.03354859724640846, 0.030398491770029068, -0.005404829978942871, 0.015630196779966354]"
according,"[-0.00324181467294693, -0.006564415991306305, 0.045203398913145065, 0.03426874801516533, -0.013436995446681976]"
more,"[0.0210237018764019, 0.028749477118253708, -0.03226279094815254, -0.043793607503175735, -0.031243586912751198]"
all,"[0.027852188795804977, -0.03248610347509384, -0.01249472051858902, -0.008591793477535248, 0.02360183373093605]"
new,"[0.01670292392373085, 0.002828408032655716, -0.0031799301505088806, -0.005551159381866455, 0.03790422901511192]"
years,"[-0.049791812896728516, 0.0030818209052085876, 0.009505044668912888, -0.02257150411605835, 0.04987892881035805]"
would,"[0.022252921015024185, -0.008639834821224213, 0.035295333713293076, -0.00958787277340889, -0.03361491113901138]"
them,"[-0.03514963388442993, 0.03757784143090248, -0.03923745080828667, 0.007322333753108978, -0.005733229219913483]"
up,"[0.019338373094797134, -0.03835023567080498, 0.009684812277555466, -0.009811043739318848, -0.012564621865749359]"
also,"[0.009380601346492767, 0.0032882578670978546, 0.04732349142432213, 0.0413510836660862, -0.04754352569580078]"
some,"[-0.03816638141870499, -0.026707518845796585, -0.03376786783337593, 0.018442604690790176, -0.03982038423418999]"
just,"[-0.004952289164066315, 0.014419589191675186, 0.020284030586481094, -0.022308338433504105, -0.026878273114562035]"
last,"[-0.010365188121795654, -0.04564864560961723, -0.016617845743894577, 0.046658966690301895, -0.039057932794094086]"
family,"[0.03228887543082237, -0.04153717681765556, -0.03321172297000885, -0.04731985554099083, -0.00589974969625473]"
so,"[0.047345902770757675, 0.017564747482538223, -0.014258038252592087, 0.02147635444998741, -0.038716625422239304]"
president,"[0.0021057836711406708, 0.01108398288488388, -0.018268026411533356, -0.020804882049560547, -0.017244946211576462]"
no,"[0.045155469328165054, 0.0348065011203289, 0.016020428389310837, -0.008753012865781784, -0.0043229348957538605]"
other,"[-0.01767371967434883, -0.024697912856936455, -0.025163626298308372, 0.04618573561310768, 0.010616838932037354]"
time,"[-0.02238013781607151, -0.04119858890771866, -0.022725893184542656, -0.03125331550836563, 0.012601707130670547]"
over,"[-0.005635835230350494, 0.048431146889925, 0.002638101577758789, -0.04055863618850708, 0.03753193840384483]"
before,"[-0.00485074520111084, 0.04391128942370415, -0.00999455526471138, 0.03244796022772789, 0.032093774527311325]"
there,"[0.030196312814950943, 0.04892008379101753, -0.011294044554233551, -0.037510085850954056, -0.004594970494508743]"
him,"[0.005593288689851761, 0.04598262533545494, 0.022684063762426376, 0.021071765571832657, 0.020143676549196243]"
statement,"[0.003079485148191452, -0.048882294446229935, -0.02937188185751438, -0.022675275802612305, -0.00870901346206665]"
my,"[0.014619115740060806, -0.028047336265444756, 0.00184636190533638, -0.03749486058950424, 0.02154553309082985]"
security,"[-0.0233834870159626, -0.0016193985939025879, -0.03167267143726349, -0.013548396527767181, 0.013403799384832382]"
first,"[0.035174500197172165, 0.0075258128345012665, 0.04912949725985527, -0.03508426994085312, 0.027138661593198776]"
where,"[-0.034951187670230865, -0.011770416051149368, -0.04244349151849747, 0.02664477750658989, -0.00351632758975029]"
if,"[-0.048730622977018356, -0.04938424751162529, -0.0028243288397789, 0.017906557768583298, 0.030884694308042526]"
than,"[-0.03958085924386978, 0.02545621618628502, -0.029470456764101982, -0.04832437261939049, -0.03857778385281563]"
can,"[-0.03546509891748428, -0.02156614139676094, -0.019870543852448463, 0.036194946616888046, 0.04294935241341591]"
did,"[0.028324995189905167, 0.016216088086366653, 0.006190158426761627, 0.043821003288030624, -0.012549113482236862]"
united,"[0.04416579380631447, -0.011910773813724518, -0.014760695397853851, -0.014601670205593109, -0.021703852340579033]"
states,"[0.01902080699801445, 0.004773177206516266, 0.00033681467175483704, 0.024344895035028458, 0.042368557304143906]"
news,"[-0.033091627061367035, 0.03674795851111412, -0.0395495668053627, -0.04064380005002022, -0.04522120952606201]"
friday,"[0.030441198498010635, 0.031225670129060745, -0.019781935960054398, 0.009222101420164108, 0.041489530354738235]"
year,"[0.04118785634636879, -0.039077065885066986, 0.03707626089453697, 0.006889902055263519, -0.02599128521978855]"
authorities,"[-0.046426333487033844, -0.008993875235319138, -0.008227229118347168, -0.014417588710784912, 0.030195999890565872]"
very,"[0.032750677317380905, 0.014337372034788132, 0.03750577196478844, 0.04527825489640236, 0.03657889738678932]"
our,"[0.021655533462762833, 0.006314348429441452, -0.015577148646116257, -0.019037986174225807, -0.013741422444581985]"
military,"[-0.03362579643726349, -0.04532361030578613, -0.03749031946063042, -0.04993736743927002, -0.022487128153443336]"
says,"[-0.02706705406308174, 0.013378333300352097, -0.003980793058872223, -0.026070786640048027, -0.04214279726147652]"
department,"[-0.04646492004394531, -0.006224930286407471, 0.028752807527780533, 0.019744310528039932, 0.029281269758939743]"
do,"[-0.04119778797030449, -0.042642928659915924, 0.0021011121571063995, 0.04200238361954689, -0.007941961288452148]"
could,"[-0.013007961213588715, 0.01050567626953125, 0.02133549377322197, -0.010187052190303802, -0.02207108773291111]"
state,"[0.0022652745246887207, 0.04334627464413643, 0.03984096273779869, -0.022501004859805107, 0.030420053750276566]"
me,"[0.010708976536989212, 0.013402830809354782, 0.016505155712366104, -0.03842458873987198, -0.015729892998933792]"
world,"[0.040552590042352676, 0.007152140140533447, 0.018173787742853165, -0.048384297639131546, -0.04473750665783882]"
many,"[0.02893858030438423, -0.01834038645029068, 0.011544667184352875, 0.041966985911130905, -0.002329491078853607]"
how,"[-0.00842970609664917, -5.5383890867233276e-05, 0.018031667917966843, 0.005267035216093063, -0.006343044340610504]"
thursday,"[-0.02351333014667034, 0.03553744778037071, 0.03987467661499977, 0.0025872811675071716, -0.019615495577454567]"
site,"[0.020470868796110153, 0.028878185898065567, 0.022697720676660538, 0.04360974207520485, 0.023728642612695694]"
during,"[0.022444400936365128, -0.006751216948032379, 0.037914011627435684, 0.013720069080591202, 0.027976419776678085]"
called,"[0.010300733149051666, 0.03577006235718727, -0.0463879369199276, -0.00717400386929512, 0.013335537165403366]"
way,"[0.012568581849336624, 0.028335783630609512, 0.04727664217352867, 0.03950533643364906, 0.0375688336789608]"
those,"[-0.005466330796480179, -0.04675084352493286, -0.02346600405871868, -0.0009594075381755829, 0.044845473021268845]"
only,"[-0.02842313051223755, -0.039512813091278076, 0.002567637711763382, -0.008728839457035065, 0.04501432552933693]"
against,"[0.04360571876168251, 0.023031417280435562, 0.047635268419981, 0.04325738176703453, 0.04470784589648247]"
through,"[0.006734572350978851, -0.0013798698782920837, -0.029487717896699905, 0.02409886196255684, 0.018068578094244003]"
then,"[-0.04662024974822998, 0.0195598267018795, 0.027072597295045853, 0.015116844326257706, 0.01872047409415245]"
took,"[-0.00846487283706665, -0.0034923553466796875, 0.04506589099764824, -0.010023318231105804, 0.01851053163409233]"
because,"[0.03757132217288017, -0.032831691205501556, -0.02352379634976387, -0.049123357981443405, 0.0070934779942035675]"
while,"[0.00340425968170166, -0.0036010034382343292, -0.032059408724308014, 0.01909666135907173, 0.02396709844470024]"
court,"[-0.00885617733001709, 0.004667498171329498, -0.03076852671802044, -0.007830403745174408, 0.01558736339211464]"
like,"[0.017145898193120956, -0.02245699241757393, -0.042038846760988235, 0.004719994962215424, -0.023559976369142532]"
three,"[-0.023388385772705078, -0.02078353241086006, 0.01031205803155899, 0.033817026764154434, 0.016599837690591812]"
team,"[-0.04010428115725517, 0.04295999929308891, 0.011577069759368896, -0.0015326961874961853, 0.014240171760320663]"
report,"[0.008972357958555222, 0.018328692764043808, -0.018438387662172318, -0.03305037319660187, -0.025834036991000175]"
get,"[-0.03273116424679756, -0.007689308375120163, -0.03204722702503204, 0.017199110239744186, -0.012764275074005127]"
now,"[0.038446132093667984, 0.048738013952970505, -0.0013446211814880371, -0.021315086632966995, 0.044715773314237595]"
minutes,"[0.004484165459871292, -0.013068925589323044, -0.04699622467160225, -0.028913212940096855, -0.0029321685433387756]"
case,"[0.018078912049531937, -0.04549281671643257, -0.03314884006977081, -0.0351082906126976, -0.030340004712343216]"
any,"[0.004043053835630417, -0.041238367557525635, 0.014107052236795425, 0.04252525791525841, 0.030108120292425156]"
used,"[-0.040496695786714554, 0.037819672375917435, -0.0010806694626808167, -0.008838176727294922, 0.011238742619752884]"
having,"[-0.03644903749227524, 0.012703444808721542, -0.01656925678253174, 0.04847950115799904, -0.0088927261531353]"
being,"[0.019334230571985245, 0.025163177400827408, -0.013809442520141602, 0.04240865632891655, 0.03945895656943321]"
say,"[0.040827903896570206, -0.047295477241277695, 0.03385290876030922, 0.02065758779644966, -0.03544347360730171]"
part,"[-0.01910005882382393, -0.029857827350497246, 0.035238731652498245, 0.029898572713136673, 0.0375298373401165]"
down,"[-0.030625034123659134, 0.0073566921055316925, 0.044926825910806656, -0.021934080868959427, -0.03879809379577637]"
obama,"[-0.019939793273806572, -0.036601029336452484, -0.002579234540462494, -0.017538558691740036, 0.01079033687710762]"
your,"[0.01050351932644844, 0.0022325515747070312, -0.03812349960207939, -0.030436206609010696, -0.030422532930970192]"
week,"[-0.025831162929534912, -0.04291286692023277, -0.009546328336000443, 0.006872963160276413, -0.03587005287408829]"
former,"[4.3489038944244385e-05, 0.006926883012056351, 0.029228579252958298, -0.018017329275608063, 0.0426366813480854]"
million,"[0.012852277606725693, 0.013735059648752213, 0.00765000656247139, -0.044810451567173004, 0.041296813637018204]"
spokesman,"[-0.003841795027256012, 0.03847402706742287, -0.04860294982790947, -0.03977116197347641, -0.018958067521452904]"
south,"[0.02953985705971718, -0.02893594466149807, -0.032320283353328705, 0.04692702367901802, 0.015396904200315475]"
killed,"[0.014555539935827255, 0.033646274358034134, -0.025063669309020042, -0.005642257630825043, -0.02704296074807644]"
want,"[0.018428634852170944, -0.023673200979828835, -0.005285870283842087, -0.014255620539188385, 0.037573907524347305]"
percent,"[0.014680657535791397, 0.013395000249147415, 0.008300721645355225, -0.029877925291657448, 0.03586913272738457]"
made,"[0.0018667355179786682, -0.010364342480897903, 0.01235596090555191, -0.03442072868347168, 0.02872595563530922]"
officials,"[-0.023417914286255836, 0.024854470044374466, -0.023674894124269485, -0.033902812749147415, -0.03232678025960922]"
going,"[-0.04520158842206001, 0.017857994884252548, -0.002213694155216217, 0.026449237018823624, 0.03346442058682442]"
off,"[-0.03459591791033745, -0.0073031894862651825, -0.0494999997317791, 0.01015854999423027, -0.010169733315706253]"
make,"[-0.01905142143368721, -0.0420495979487896, 0.0115935318171978, 0.03882303461432457, -0.03797701746225357]"
city,"[-0.01209871843457222, -0.027537573128938675, -0.018664907664060593, 0.02991899475455284, -0.025708317756652832]"
death,"[-0.03731858730316162, 0.00771784782409668, 0.01849116012454033, -0.03526609018445015, 0.002232801169157028]"
came,"[-0.021890152245759964, -0.02923213317990303, 0.047994110733270645, 0.007052995264530182, 0.01880759373307228]"
know,"[-0.04578406736254692, -0.021310819312930107, -0.015056062489748001, -0.0009167790412902832, 0.03569089248776436]"
home,"[-0.02440751902759075, -0.026008618995547295, 0.0026878826320171356, 0.0012693405151367188, 0.03499063476920128]"
cnns,"[-0.042200829833745956, -0.019259799271821976, 0.02783450111746788, 0.03661319240927696, -0.01871790736913681]"
really,"[-0.037913523614406586, 0.03062080219388008, 0.01901504024863243, -0.03477988392114639, 0.034797023981809616]"
may,"[0.04151410236954689, 0.012711647897958755, 0.04027849808335304, -0.00696193054318428, 0.0110199935734272]"
foreign,"[0.044025253504514694, 0.04780777916312218, 0.01591310277581215, -0.005808092653751373, -0.044368255883455276]"
man,"[-0.017931006848812103, 0.028930578380823135, -0.0018403157591819763, -0.004053927958011627, -0.027354443445801735]"
left,"[-0.01795828342437744, -0.0005305036902427673, -0.023234402760863304, -0.008043467998504639, 0.04016814008355141]"
monday,"[-0.045941103249788284, -0.04191632196307182, -0.0303735863417387, -0.012808550149202347, 0.02050599828362465]"
day,"[-0.011508822441101074, 0.007301758974790573, 0.032387327402830124, 0.026282336562871933, -0.04130663722753525]"
work,"[-0.04247460514307022, 0.013544265180826187, 0.022628571838140488, 0.03205035999417305, 0.012064076960086823]"
general,"[-0.04521537944674492, 0.04258156195282936, -0.04797408729791641, 0.006462670862674713, -0.013761281967163086]"
web,"[0.04841632768511772, -0.037918318063020706, 0.01888066902756691, -0.020571112632751465, -0.03388235718011856]"
job,"[-0.04796009138226509, 0.01887432113289833, -0.03681253269314766, 0.01841520145535469, -0.03413008525967598]"
back,"[0.048138294368982315, -0.0089462511241436, -0.007450006902217865, -0.025889087468385696, -0.021841956302523613]"
air,"[0.0245172418653965, -0.04937491565942764, 0.038235846906900406, -0.013672389090061188, -0.008862029761075974]"
tuesday,"[0.011284075677394867, -0.03455780819058418, 0.04910394176840782, -0.01914430968463421, 0.043118130415678024]"
office,"[0.02244419977068901, -0.0163777694106102, -0.0070910342037677765, 0.04986957088112831, -0.03475097566843033]"
investigation,"[0.011872947216033936, -0.03103807009756565, 0.022140096873044968, -0.04322708770632744, 0.022365275770425797]"
afghanistan,"[-0.03149644285440445, -0.04377523809671402, -0.03407859802246094, 0.040810976177453995, -0.006830297410488129]"
official,"[-0.04408072307705879, -0.039794981479644775, 0.04438136890530586, -0.00047709792852401733, -0.047577690333127975]"
most,"[-0.027491414919495583, 0.013877812772989273, 0.001775551587343216, -0.0346769317984581, -0.04431955888867378]"
life,"[-0.041041530668735504, -0.010788988322019577, -0.007579397410154343, -0.02568814717233181, 0.02099311724305153]"
top,"[0.029002796858549118, 0.024257663637399673, -0.01631152629852295, -0.0495176799595356, 0.03757074102759361]"
oakley,"[-0.003321398049592972, -0.036921799182891846, 0.019547317177057266, 0.006339609622955322, 0.003325246274471283]"
including,"[-0.0084710493683815, -0.04008268192410469, 0.013051006942987442, 0.0410638190805912, -0.030024314299225807]"
watch,"[0.04166902229189873, -0.007617879658937454, 0.010096084326505661, 0.013178672641515732, 0.03199226036667824]"
found,"[-0.02323894575238228, 0.04889636114239693, -0.04771758243441582, -0.013148974627256393, 0.015211734920740128]"
under,"[-0.01581566408276558, 0.037372324615716934, -0.006463289260864258, 0.04237769916653633, -0.047197069972753525]"
died,"[0.0017558932304382324, -0.029379069805145264, 0.039600420743227005, 0.030995335429906845, -0.010762762278318405]"
iraq,"[0.013068925589323044, -0.03545684739947319, 0.03216277435421944, -0.039145827293395996, 0.04269082471728325]"
between,"[0.018030408769845963, 0.040547024458646774, -0.0074621811509132385, 0.015309717506170273, -0.014812696725130081]"
base,"[-0.02665696106851101, 0.03044300153851509, 0.03209180757403374, 0.03173402324318886, -0.034039296209812164]"
whether,"[-0.026665104553103447, -0.005015004426240921, -0.001352798193693161, 0.03508773073554039, -0.029200805351138115]"
others,"[-0.038506053388118744, -0.006895352154970169, -0.019369756802916527, 0.02464098110795021, 0.013110291212797165]"
least,"[0.014955762773752213, 0.032930802553892136, 0.02931148186326027, 0.019473109394311905, -0.035578787326812744]"
children,"[0.02804737165570259, 0.04446693882346153, 0.03289438411593437, -0.002445388585329056, 0.014630008488893509]"
students,"[0.040386173874139786, 0.038402389734983444, -0.034639228135347366, 0.04555061087012291, 0.04943652078509331]"
these,"[0.017000269144773483, -0.04694392904639244, -0.016185294836759567, 0.03130718693137169, -0.04616091400384903]"
women,"[0.012845490127801895, -0.0014334432780742645, 0.01271391287446022, 0.029844846576452255, -0.0269328486174345]"
place,"[0.015498604625463486, -0.047876860946416855, 0.045023489743471146, 0.04274339601397514, -0.0009975917637348175]"
wednesday,"[-0.02563375234603882, 0.007213495671749115, -0.0030021294951438904, 0.013843093067407608, -0.002102576196193695]"
sunday,"[-0.033757008612155914, 0.03125692531466484, -0.002867709845304489, -0.02593097649514675, 0.04147995635867119]"
company,"[0.02907494083046913, -0.018117796629667282, -0.04588421806693077, -0.013986922800540924, 0.004844378679990768]"
days,"[-0.008861113339662552, 0.01480746641755104, 0.022585880011320114, 0.03114357218146324, 0.04389891400933266]"
country,"[-0.014931570738554, 0.0016438961029052734, 0.047937240451574326, -0.030428780242800713, -0.03347708284854889]"
paul,"[-0.039856232702732086, -0.034803688526153564, -0.044670235365629196, -0.017907191067934036, 0.043473098427057266]"
never,"[-0.02988380193710327, 0.03506677225232124, -0.012714993208646774, 0.04602784290909767, 0.03440629318356514]"
such,"[-0.024510955438017845, 0.021286163479089737, 0.028424177318811417, -0.03494530916213989, -0.0014178156852722168]"
saying,"[0.04802388325333595, 0.008645296096801758, 0.0002226606011390686, 0.011976826936006546, 0.016782689839601517]"
five,"[0.010374806821346283, -0.0029924139380455017, 0.01866333559155464, -0.03929094225168228, -0.029300643131136894]"
go,"[0.012414097785949707, 0.002475988119840622, 0.03719646856188774, 0.029310893267393112, 0.008579898625612259]"
blackwater,"[-0.04210257530212402, -0.043163228780031204, 0.048573147505521774, 0.00904148817062378, 0.03316991403698921]"
until,"[-0.01947113312780857, -0.04359406232833862, -0.042706381529569626, 0.0401839055120945, -0.02670156955718994]"
international,"[-0.02578519657254219, -0.027511728927493095, -0.03875689581036568, 0.01623779907822609, -0.005067609250545502]"
campaign,"[-0.02457292191684246, -0.016729723662137985, 0.0035882964730262756, 0.04440600052475929, -0.013856984674930573]"
take,"[0.007417846471071243, 0.0010088682174682617, 0.020131539553403854, -0.0399412140250206, -0.010381780564785004]"
jackson,"[-0.02985435724258423, 0.024957310408353806, -0.045005228370428085, 0.0035575851798057556, 0.009177781641483307]"
both,"[0.0076567307114601135, 0.030309561640024185, 0.019787881523370743, 0.04163764789700508, -0.022362936288118362]"
jury,"[0.044783007353544235, -0.04032092168927193, -0.01330660656094551, 0.011328984051942825, 0.008527994155883789]"
john,"[0.04201464727520943, -0.026238728314638138, -0.035043489187955856, -0.047062646597623825, 0.009282004088163376]"
university,"[0.002305328845977783, -0.02767428196966648, 0.013335134834051132, -0.04823770746588707, 0.044394541531801224]"
major,"[0.027803394943475723, 0.024617280811071396, -0.038548219949007034, 0.048623692244291306, -0.007778894156217575]"
ago,"[0.040104594081640244, -0.02662454918026924, -0.047437261790037155, 0.018662799149751663, -0.04610591009259224]"
earlier,"[-0.03588969632983208, -0.0028524883091449738, -0.000758778303861618, -0.041994333267211914, 0.036809492856264114]"
attorney,"[-0.04984500631690025, 0.0029191486537456512, -0.03968486934900284, 0.02894296869635582, 0.013115394860506058]"
help,"[-0.033973850309848785, 0.036517415195703506, 0.046693120151758194, 0.013492058962583542, -0.002950213849544525]"
change,"[-0.02029111422598362, -0.017419468611478806, 0.010286390781402588, 0.04755694046616554, -0.01524418592453003]"
season,"[-0.04766427353024483, 0.031121764332056046, 0.027227867394685745, 0.01661911979317665, 0.025228168815374374]"
think,"[-0.04091223329305649, -0.023528922349214554, -0.03606673330068588, -0.022778844460844994, 0.0006810314953327179]"
best,"[0.011003304272890091, -0.04441080242395401, 0.0373130701482296, 0.019410979002714157, -0.027113890275359154]"
believe,"[0.046948958188295364, 0.0386558435857296, -0.0026447996497154236, -0.03628460317850113, -0.012354623526334763]"
reported,"[-0.039858151227235794, -0.008439552038908005, -0.019664932042360306, -0.04627944156527519, 0.0012217387557029724]"
carolina,"[-0.005332089960575104, 0.001949310302734375, 0.03398749604821205, 0.030593659728765488, 0.0149773471057415]"
put,"[0.024562131613492966, 0.03551579639315605, -0.006562590599060059, 0.022076118737459183, 0.012647043913602829]"
friend,"[-0.03668610006570816, 0.0026409514248371124, -0.003352772444486618, 0.039969298988580704, 0.04142650589346886]"
use,"[0.036145392805337906, 0.04532325640320778, 0.04022851213812828, 0.031279053539037704, 0.00019494444131851196]"
still,"[-0.0064627304673194885, -0.003973543643951416, -0.04308111593127251, 0.04859704151749611, -0.013284623622894287]"
didnt,"[-0.010635457932949066, -0.023133182898163795, -0.0394335612654686, 0.012777004390954971, -0.048813462257385254]"
»,"[0.03571900352835655, -0.02828986756503582, 0.016110431402921677, -0.04570760950446129, 0.04769587889313698]"
own,"[-0.049153294414281845, -0.049757447093725204, 0.026354815810918808, 0.025180045515298843, 0.0032433271408081055]"
added,"[-0.01207258552312851, -0.04049869626760483, -0.02505357377231121, -0.010687731206417084, 0.031088542193174362]"
north,"[0.02904120460152626, 0.0026496052742004395, -0.035508979111909866, -0.019706178456544876, -0.0222748052328825]"
much,"[-0.049768686294555664, 0.03661063686013222, 0.049989309161901474, -0.03472123295068741, -0.01735851913690567]"
later,"[-0.036898232996463776, 0.025600675493478775, 0.003863416612148285, -0.019356979057192802, -0.033924996852874756]"
taken,"[-0.04589280113577843, 0.025221575051546097, -0.022427678108215332, 0.013997826725244522, 0.04936784878373146]"
see,"[0.011836659163236618, 0.04842379316687584, -0.038364388048648834, 0.018110398203134537, -0.0434090755879879]"
film,"[0.0444815419614315, 0.02737056091427803, -0.02442065440118313, 0.005625821650028229, 0.00719524547457695]"
contributed,"[0.01514989510178566, 0.004493318498134613, 0.04371950402855873, -0.010177243500947952, -0.025962889194488525]"
win,"[0.006922461092472076, 0.02935582771897316, -0.038905419409275055, 0.011745095252990723, 0.04595274105668068]"
six,"[-0.03508938476443291, -0.04645327478647232, 0.01485002413392067, -0.04215744882822037, 0.02792375162243843]"
black,"[0.011499486863613129, -0.00016211345791816711, -0.04171423986554146, 0.003259696066379547, 0.03384924307465553]"
am,"[0.035769712179899216, 0.005912076681852341, 0.0011027082800865173, -0.021501684561371803, -0.024989057332277298]"
